ID;Приоритет;Статус;Компонент;Проблема;Источник;Влияние;Рекомендация;Проверка NX 2512;Результат повторной проверки;Комментарий повторной проверки
SAFE-001;P0;Подтверждено кодом;Execution;execution.dryRun и CommandRequest.DryRun не предотвращают Generate/Update.;"DrawingPlan.cs:10; DrawingEngine.cs:53-63; CommandHost.cs:48-51";Пользователь может ожидать безопасный просмотр, но деталь будет изменена.;"До входа в adapter.Execute принудительно маршрутизировать dry-run в Preview; добавить fake-adapter test.";Нет;Исправлено статически;DrawingEngine.Run обрабатывает execution.dryRun через Preview и не вызывает Execute.
SAFE-002;P0;Подтверждено кодом;Undo / Validation;Post-validation выполняется после выхода из Undo-области.;"DrawingEngine.cs:55-63; NxExecutionAdapter.cs:60-100";Невалидный результат остаётся в WorkPart без rollback.;"Выполнять postconditions внутри undo scope; rollback при любой blocking issue.";Нет;Исправлено статически;NxExecutionAdapter.Execute выполняет NxValidationService.Validate до выхода из Undo-области и вызывает rollback при ERROR.
SAFE-003;P0;Подтверждено кодом;Undo;Сервисные ERROR, записанные прямо в ExecutionReport, не учитываются условием экспорта.;"DrawingEngine.cs:56-60; NxFlatPatternService.cs";Возможны сохранение и экспорт после критической ошибки подсистемы.;Проверять совокупность report.Issues, а не только отдельный ValidationReport.;Нет;Исправлено статически;DrawingEngine проверяет совокупный report.Issues перед Export.
SAFE-004;P0;Подтверждено кодом;Managed objects;Поиск managed-объекта не ограничен profileId/jobId.;NxObjectTools.cs:51-65;Объект другого профиля с тем же AUTO_DWG_ID может быть изменён.;"Managed key = profileId + documentId/job scope + objectKind + logicalId; индексировать и отклонять коллизии.";Нет;Частично исправлено;Поиск ограничен profileId, но jobId/идентификатор задания в ownership пока отсутствует.
SAFE-005;P0;Подтверждено кодом;Sheets;Ручной лист может быть принят за управляемый по совпадению имени.;NxSheetService.cs:14-21;Ручной лист будет изменён плагином без ownership marker.;"Запретить fallback adoption; выдавать MANAGED_NAME_COLLISION.";Нет;Исправлено статически;NxSheetService запрещает присваивать ручной лист при совпадении имени.
SAFE-006;P1;Подтверждено кодом;Managed objects;TagManaged не подтверждает запись обязательных атрибутов, а SetStringAttribute подавляет ошибки.;NxObjectTools.cs:8-65;Документация обещает идемпотентность, но объект может остаться неидентифицируемым.;После записи прочитать атрибуты и при несовпадении rollback.;Нет;Исправлено статически;TagManaged после записи проверяет AUTO_DWG_MANAGED, AUTO_DWG_ID и AUTO_DWG_PROFILE_ID.
SAFE-007;P1;Подтверждено кодом;Managed objects;Не реализовано удаление устаревших управляемых объектов, несмотря на профиль.;"$.execution.idempotency.deleteManagedObjectsMissingFromConfig; отсутствие reconciler";Удалённый из JSON вид/лист останется в чертеже.;"Построить reconciliation diff; удалять только exact ownership scope после Preview и capability check.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
SAFE-008;P1;Подтверждено кодом;Generate/Update;Generate и Update используют один и тот же путь без различий политики.;DrawingEngine.cs:53-55;Update на неуправляемом чертеже и Generate поверх существующего ведут себя неоднозначно.;"Generate: reject/explicit adoption; Update: require managed registry; отдельные preconditions.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
SAFE-009;P0;Подтверждено кодом;WorkPart;"NxExecutionAdapter сохраняет WorkPart в конструкторе; request не связывает команду с исходной деталью.";"CommandHost.cs:37-51; NxExecutionAdapter.cs:18-26";После смены WorkPart команда может примениться не к той детали.;Передавать partIdentifier/checksum в request, сверять после закрытия Configurator и перед каждой мутацией.;Нет;Частично исправлено;"IPC привязан к пути детали и EnsureCurrentWorkPart проверяет ссылку перед транзакцией; адаптер всё ещё хранит Part на всём жизненном цикле команды."
SAFE-010;P1;Подтверждено кодом;Rollback;"RolledBack=true устанавливается до подтверждения UndoToMark; исключение rollback подавляется.";NxExecutionAdapter.cs:91-98;Отчёт может ложно утверждать, что деталь восстановлена.;"Отмечать rollback только после подтверждённого вызова; отдельный NX_ROLLBACK_FAILED с exception chain.";Нет;Исправлено статически;"RolledBack=true устанавливается только после подтверждённого UndoToMark; ошибка rollback записывается как ERROR."
SAFE-011;P2;Подтверждено кодом;Undo;TryUpdate создаёт невидимый Undo mark и не управляет его жизненным циклом.;NxExecutionAdapter.cs:142-150;Загрязнение undo stack и неопределённая вложенность marks.;"Передавать основной mark в update; документировать/проверить DeleteUndoMark в NX 2512.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
SAFE-012;P1;Подтверждено кодом;Managed objects;Нет runtime-проверки нескольких объектов с одинаковым managed ID.;NxSheetService/NxViewService FirstOrDefault;Непредсказуемо обновляется первый найденный объект.;ManagedObjectRegistry должен индексировать все объекты и блокировать duplicates до транзакции.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
SAFE-013;P2;Подтверждено кодом;Manual edits;preserveManualViewPositions и другие preserve-настройки не исполняются.;"$.execution.preserveManualViewPositions; NxViewService update path";Ручная корректировка управляемого вида будет перезаписана без объяснения.;Хранить last-applied fingerprint и применять three-way policy: config/current/previous.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
API-001;P1;Подтверждено кодом;API map;Ключи aliases с точками читаются как JSONPath и поэтому не находятся.;"NxApiMap.cs:19-23; nx2512-api-map.json:5-107";"Все настройки альтернатив API фактически игнорируются; используются defaults в коде.";"Читать aliases JsonObject по literal key; contract test на sheet.collection.";Нет;Исправлено статически;NxApiMap читает literal property key с точками напрямую из JsonObject.
API-002;P1;Подтверждено кодом;Reflection;Часть Create*Builder вызывается с `null` как params-array, а не как один null-аргумент.;"NxViewService.cs:59; NxSheetService.cs:62-64; аналогично 7 сервисов";Возможен NullReferenceException на suppliedArgs.Length или неверный overload.;"Использовать `(object?)null`; защитить Invoke от null params-array.";Нет;Исправлено статически;Вызовы builder используют (object?)null как один аргумент, а не null params-array.
API-003;P1;Подтверждено кодом;Reflection;Успешный void-вызов возвращает null и трактуется как неуспех.;"NxReflection.cs:54-71; NxPmiService.cs:63-67; NxTitleBlockService.cs:60-63";Повторные попытки, ложные warnings, возможные дубли PMI/штампа.;Ввести internal void-success sentinel или TryInvokeResult с Invoked/ReturnValue.;Нет;Исправлено статически;void-вызов отражения возвращает внутренний маркер успеха.
API-004;P0;Подтверждено кодом;Reflection;"Выбор overload основан почти только на числе параметров; обязательные аргументы фабрикуются как default/null.";NxReflection.cs:56-69,136-153;Может быть вызван семантически неверный NX API с частичным commit.;"Типо-совместимый binder; не заполнять обязательные параметры; подписывать api-map ожидаемыми parameter types.";Нет;Исправлено статически;Reflection больше не создаёт null/default для обязательных параметров и ранжирует только совместимые сигнатуры.
API-005;P1;Подтверждено кодом;Reflection;Ошибки invocation часто подавляются и выполняется fallback к другому имени/overload.;"NxReflection.cs:66-69; множество catch {}";"Реальная NX-ошибка маскируется как отсутствие API; возможен второй побочный вызов.";"Fallback только при missing/incompatible signature; если совместимый метод начал выполнение и упал — остановиться.";Нет;Частично исправлено;Центральный Invoke не скрывает ошибку найденной сигнатуры, но отдельные сервисы всё ещё имеют catch/fallback, способные скрывать причину.
API-006;P1;Подтверждено кодом;Reflection;`throw ex.InnerException` сбрасывает исходный stack trace.;NxReflection.cs:67;Диагностика не показывает место реального сбоя NX Open.;ExceptionDispatchInfo.Capture(inner).Throw().;Нет;Исправлено статически;ExceptionDispatchInfo сохраняет исходный stack trace InnerException.
API-007;P2;Подтверждено кодом;Reflection;Метаданные reflection не кэшируются.;NxReflection.cs:15-16,44,57;Большое число GetMethods/GetProperty на горячем пути.;"ConcurrentDictionary cache keyed by type/name/signature; считать lookup/cache hit metrics.";Нет;Исправлено статически;Добавлены ConcurrentDictionary-кэши свойств, полей и методов.
API-008;P1;Подтверждено кодом;Capabilities;Inventory сканирует имена, но не разрешает фактические aliases/signatures и команды.;NxCapabilityScanner.cs;Отчёт не отвечает, какие функции действительно работоспособны.;CapabilityRegistry: requirement → resolved type/method/signature/license/degraded mode/commands.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
API-009;P1;Требует проверки в NX 2512;API map;Все конкретные имена Drafting/PMI/SheetMetal в map не подтверждены локальными DLL в текущей среде.;"config/nx2512-api-map.json; docs/NX2512_API_VERIFICATION.md";Компиляция может пройти, но runtime-вызовы не соответствовать maintenance release.;"Запустить Inventory на каждой поддерживаемой MR; утвердить типизированные API там, где стабильны.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
API-010;P2;Логический вывод;API boundary;Reflection применяется слишком широко, включая устойчивые скомпилированные контракты.;NxRuntime services;Ошибки обнаруживаются поздно и ухудшается refactoring safety.;"Typed-first для подтверждённых Session/Part/Drafting contracts; reflection только CompatibilityGateway.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-001;P1;Подтверждено кодом;Model analysis;"GetChildren передаётся в Get как имя свойства; методы Get не вызываются.";"NxExecutionAdapter.cs:32-35; NxReflection.Get";componentCount может быть 0 даже для сборки.;Явно вызвать GetChildren через Invoke после проверки свойства Children.;Нет;Исправлено статически;"Добавлен GetOrInvoke; Component.GetChildren теперь вызывается как метод при отсутствии свойства."
NX-002;P2;Подтверждено кодом;Model analysis;Анализ модели реализует малую часть $.modelAnalysis.;"NxExecutionAdapter.cs:28-48; $.modelAnalysis";Профиль обещает классификацию, sheet metal, holes, datums и пр., но план их не получает.;Создать ModelSnapshotBuilder и реестр реально поддерживаемых analyzers.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-003;P1;Подтверждено кодом;Sheets;"Существующий лист только активируется; формат, ориентация, template, порядок и scale не синхронизируются.";NxSheetService.cs:14-21;Update не приводит чертёж к профилю.;"SheetAdapter.Update с diff/postconditions; неподдерживаемые изменения — recreate policy с Preview.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-004;P1;Подтверждено кодом;Views;"Существующий вид обновляет главным образом позицию; модельный вид, scale, style, parent и section не согласуются.";NxViewService.cs;Идемпотентность декларативного профиля отсутствует.;"Typed ViewDesiredState + UpdateResult; пересоздание при смене kind/parent.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-005;P2;Подтверждено кодом;Views/Layout;Положение вычисляется magic offsets 80/110 и по строкам ID/name.;NxViewService.cs:185-216;"Локализация/переименование ID меняет направление; реальные габариты не учитываются.";Хранить direction в ViewPlan, использовать LayoutSolver и bounds NX.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-006;P1;Подтверждено кодом;Scale;`auto`, inheritSheet и sheet scale фактически не рассчитываются.;"DrawingPlanner.cs:52-60; NxViewService.cs:164-175";Штамп может показывать auto, виды создаются 1:1/частично.;ScaleSelectionService в Core на основе ModelSnapshot и usable area.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-007;P1;Подтверждено кодом;Title block;Runtime выбирает definitions[0], игнорируя activeDefinition.;NxTitleBlockService.cs:20-23;Заполняется неправильная форма штампа.;"Разрешать activeDefinition в нормализованном профиле; исправление включено в patch.";Нет;Исправлено статически;DrawingPlanner и NxTitleBlockService выбирают titleBlocks.activeDefinition.
NX-008;P2;Подтверждено кодом;Title block;requiredWhen, format, overflow, writeBackAttribute почти не применяются.;"DrawingPlanner.LoadTitleBlockCells; NxTitleBlockService";Длинный текст/условные поля могут быть неверны.;TitleBlockPlan должен содержать resolved formatting и placement policy.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-009;P1;Подтверждено кодом;PMI;Используется только viewMapping и базовый флаг enabled.;NxPmiService.cs:9-46;Groups/types/attributes/dedup/placement/required PMI из профиля не работают.;PMI selection snapshot + stable source identity + managed inheritance registry.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-010;P1;Подтверждено кодом;PMI;Inherited PMI не получает ownership metadata и не дедуплицируется.;NxPmiService.cs;Повторный запуск может создавать повторные аннотации.;"Сначала inventory inherited annotations; match source persistent identity + target view; idempotency integration test.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-011;P1;Подтверждено кодом;Flat Pattern;Flat Pattern создаётся без реализации stationary face/X direction/material/thickness из профиля.;"NxFlatPatternService.cs; $.sheetMetalFlatPattern.flatPatternSource";Неверная ориентация или невозможность построения.;"Не выдавать auto-create как production-ready до typed API verification; требовать named face/edge либо manual review.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-012;P1;Подтверждено кодом;Flat Pattern;Существующий объект ищется по имени/типу и может быть ручным.;NxFlatPatternService.cs;Ручной Flat Pattern может быть изменён.;Ownership scope и explicit useExistingUnmanaged=false.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-013;P1;Подтверждено кодом;Parts List;Создаётся базовый/пустой Parts List без большинства заявленных правил.;"NxPartsListService.cs; $.partsListAndBalloons.partsList";BOM columns, roll-up, levels, sorting и position stability не гарантируются.;"Отдельный BOM snapshot в Core; typed PartsList adapter; contract/integration tests.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-014;P1;Подтверждено кодом;Balloons;Функциональность balloons фактически отсутствует.;"Отсутствует BalloonService; $.partsListAndBalloons.balloons";Заявленная связь balloon ↔ BOM row не реализована.;"Не показывать enabled в UI до реализации; добавить capability Ballooning.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-015;P2;Подтверждено кодом;Technical requirements;Примечание размещается по фиксированной координате и не использует named region/columns.;NxTechnicalRequirementsService.cs;Перекрытия и выход из зоны.;"Планировать TextBlock bounds; разбивать колонки/листы в Core.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-016;P1;Подтверждено кодом;Technical requirements;При невозможности обновить существующую note создаётся новая с тем же ID.;NxTechnicalRequirementsService.cs;Дубликаты при повторном Update.;Если update unsupported — controlled replace в одной transaction, с duplicate guard.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-017;P2;Подтверждено кодом;Bend table;Создаётся пустая таблица фиксированного размера, без bend data.;NxTableService.cs;Таблица не соответствует профилю и вводит пользователя в заблуждение.;Пометить capability planned либо реализовать BendSnapshot + row mapping.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-018;P2;Подтверждено кодом;Styles/Layers;Большинство style/layer значений игнорируется, успех логируется без подтверждения Set.;"NxStyleService.cs; NxLayerService.cs";Чертёж может не соответствовать ЕСКД при положительном отчёте.;"Каждый setter возвращает Applied/Unsupported/Failed; postcondition read-back.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-019;P1;Подтверждено кодом;Validation;Configured validation.checks не управляет фактическим набором проверок.;"NxValidationService.cs; $.validation.checks";Профиль обещает проверки, которые не выполняются.;Rule registry с code → implementation → applicability → severity override.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-020;P2;Подтверждено кодом;Validation;Проверяется associativity всех dimensions, включая ручные и unmanaged.;NxValidationService.cs;Валидный ручной чертёж может быть ошибочно заблокирован.;Scope проверки задавать managed/profile или явно allDrawingDimensions.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-021;P1;Подтверждено кодом;Export;"Большинство PDF/DXF options не применяется; DXF не доказан как экспорт именно Flat Pattern.";"NxExportService.cs; $.output; $.sheetMetalFlatPattern.dxfExport";Файл может иметь неправильное содержание/настройки.;Typed export request, temp-output + atomic rename, explicit selection, post-export existence/hash.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-022;P1;Подтверждено кодом;Save/Export;Ошибка сохранения детали понижается до warning, после чего продолжается export.;NxExecutionAdapter.cs:108-118;Экспорт может не соответствовать сохранённой детали.;"Save failure blocking by default; отдельный allowExportUnsaved=false.";Нет;Исправлено статически;Ошибка Save добавляет blocking diagnostic NX_SAVE_FAILED и прекращает экспорт.
NX-023;P1;Подтверждено кодом;Licensing;Нет явной проверки лицензий Drafting/PMI/PartsList/SheetMetal перед transaction.;"NxExecutionAdapter; NxCapabilityScanner";Сбой происходит посередине операции.;Capability preflight с degraded mode и точным сообщением.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
NX-024;P2;Подтверждено кодом;Inventory;Inventory требует WorkPart из-за конструктора adapter.;"NxExecutionAdapter.cs:18-23; CommandHost.Execute";Диагностику нельзя запустить без открытой детали.;Разделить session-level InventoryAdapter и part-required execution.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
UI-001;P2;Подтверждено кодом;Configurator;"Вся логика находится в MainWindow code-behind; MVVM отсутствует.";MainWindow.xaml.cs:13-212;Трудно тестировать команды, dirty state и навигацию.;Ввести один MainWindowViewModel и сервисы, не создавать новый проект.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
UI-002;P2;Подтверждено кодом;Configurator;UI механически отражает top-level JSON и редактирует только scalar leaves.;"MainWindow.xaml.cs:74-119; JsonFlattener.cs";Нельзя удобно добавлять/удалять/reorder листы, виды, таблицы и mappings.;"Task-oriented editors с collection commands; Raw JSON оставить advanced mode.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
UI-003;P2;Подтверждено кодом;Configurator;Каждое изменение полностью сериализует профиль в RawJsonBox на UI thread.;MainWindow.xaml.cs:98-106;Задержки на большом профиле и потеря отзывчивости.;"Debounce 250–500 ms; raw JSON обновлять по вкладке/явной команде.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
UI-004;P1;Подтверждено кодом;Configurator;Нет dirty tracking и подтверждения закрытия с несохранёнными изменениями.;MainWindow.xaml.cs;Потеря пользовательских изменений.;IsDirty, Closing guard, draft recovery.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
UI-005;P2;Подтверждено кодом;Configurator;Нет undo/redo, autosave drafts, crash recovery или diff с предыдущим профилем.;MainWindow.xaml.cs;Редактирование 2300 строк рискованно.;Command history, draft file, compare with .bak/resolved profile.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
UI-006;P2;Подтверждено кодом;Configurator;Ошибки показываются таблицей без перехода к JSON-path.;"MainWindow.xaml; MainWindow.xaml.cs:131-137";Пользователь вручную ищет проблемное поле.;Diagnostics navigation service: select scenario/section/field by JsonPath.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
UI-007;P2;Подтверждено кодом;Configurator;Нет типизированных редакторов enum/bool/number и зависимых полей.;"EditableSetting.cs; MainWindow.xaml";Высокий риск опечаток и нерелевантных настроек.;FieldDescriptor catalog + DataTemplateSelector.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
UI-008;P3;Подтверждено кодом;Configurator;Виртуализация/lazy loading явно не настроены.;MainWindow.xaml;Большие коллекции могут перегружать UI.;"Enable virtualization/recycling; lazy-load section collections; измерить startup/edit latency.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
IPC-001;P1;Подтверждено кодом;IPC;Request не содержит версии протокола, requestId, времени, part identifier и checksum.;CommandRequest.cs:15-34;Старый/подменённый запрос может быть выполнен на другой детали/профиле.;"Версионированный контракт; исправление включено в patch.";Нет;Исправлено статически;CommandRequest содержит protocolVersion, requestId, createdUtc, partIdentifier и SHA-256 профиля.
IPC-002;P1;Подтверждено кодом;IPC;ProcessStartInfo использует вручную собранную строку аргументов и UseShellExecute=true.;CommandHost.cs:38-44;Риски quoting Unicode/пробелов и невозможность надёжно контролировать запуск.;UseShellExecute=false + ArgumentList.;Нет;Исправлено статически;ProcessStartInfo.UseShellExecute=false и ArgumentList исключают ручное экранирование.
IPC-003;P1;Подтверждено кодом;IPC;WaitForExit блокирует NX без протокола результата/диагностики exit code.;CommandHost.cs:45-47;Зависший Configurator блокирует рабочую NX-сессию.;"Хотя синхронность нужна, добавить UI-индикацию, cancellation и controlled wait loop; не выполнять NX API в фоне.";Нет;Частично исправлено;"Добавлен двухчасовой timeout и проверка exit code; NX всё ещё синхронно ждёт внешний редактор."
IPC-004;P2;Подтверждено кодом;IPC;Request удаляется не в finally и старый файл не имеет age validation.;CommandHost.cs:47-50;Старые запросы и мусор после ошибки.;LocalAppData requests, age check, finally cleanup, explicit canceled result.;Нет;Исправлено статически;Request проверяет возраст и удаляется в finally.
CMD-001;P2;Подтверждено кодом;Commands;Шесть wrapper-проектов дублируют entrypoint pattern.;src/NxEskd.Commands/*/EntryPoint.cs;Локальный technical debt и риск расхождения bootstrap.;"Сохранить wrappers для MenuScript, но генерировать общим template/shared source; composition root в Runtime.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
CMD-002;P1;Потенциальный риск;Build;Update.csproj не содержит явной NXOpen reference, хотя EntryPoint использует NXOpen.;src/NxEskd.Commands/Update/NxEskd.Update.csproj;Возможна ошибка компиляции в зависимости от transitive reference behavior.;"Сделать ссылки единообразными или вынести Directory.Build.targets; подтвердить dotnet build с NX DLL.";Нет;Исправлено статически;В Update.csproj добавлена явная ссылка NXOpen.
CMD-003;P2;Подтверждено кодом;Commands;Inventory/Validate используют общий adapter и одинаковые требования к WorkPart.;"CommandHost.cs; NxExecutionAdapter ctor";Команды диагностики и profile validation недоступны без детали.;CommandDescriptor.RequiredCapabilities/RequiresWorkPart.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
